structCount,percentStructArea,dam,gravelSandpit,unpavedRoad,trail,structRatio,sidewalkArea,recScore,zoneType
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Special Purpose
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,1,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Special Purpose
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,1,0,1,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,1,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,1,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,1,1,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,1,0,Industrial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,1,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,1,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,1,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,1,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,1,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,1,Special Purpose
0,0,0,0,0,0,0,0,1,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,1,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Residential
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,1,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,1,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,1,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,1,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,1,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,1,0,1,0,0,Residential
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,1,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,1,0,1,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,1,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,1,Commercial
0,0,0,1,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,1,0,0,0,0,Commercial
0,1,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,1,Commercial
0,0,0,0,0,0,1,0,1,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,1,1,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,1,0,0,1,1,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,1,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,1,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,1,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,1,Commercial
0,1,0,0,0,0,0,0,0,Commercial
0,1,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,1,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,1,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,1,1,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,1,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,1,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,1,Residential
1,0,0,0,0,0,0,0,0,Residential
0,1,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,1,0,Residential
0,0,0,0,0,0,0,1,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,1,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,1,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,1,0,0,Residential
1,0,0,0,0,0,1,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,1,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,1,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,1,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,1,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,1,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,1,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,1,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
1,0,0,0,0,0,1,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,1,0,0,0,1,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,1,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,1,0,0,Commercial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,1,Commercial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,1,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,1,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,1,0,0,0,Industrial
0,1,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,1,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,1,0,Industrial
0,1,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,1,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,1,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,1,Industrial
0,0,0,1,1,0,0,0,1,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,1,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
1,0,0,0,0,0,0,0,1,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,1,Industrial
0,0,0,1,1,0,0,0,1,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,1,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,1,Industrial
0,0,0,0,0,1,0,0,1,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,0,0,0,0,0,0,0,0,Industrial
0,1,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Industrial
0,1,0,0,0,0,0,0,0,Special Purpose
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,1,0,0,0,0,Commercial
0,0,0,0,0,0,0,1,0,Commercial
0,0,0,0,0,0,1,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,1,1,0,1,Special Purpose
0,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,1,0,Residential
1,0,0,0,0,0,1,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,1,0,1,Special Purpose
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,1,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,1,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,1,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,1,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,1,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,1,0,Residential
0,0,0,0,0,0,0,1,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,1,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,1,Residential
0,1,0,0,0,0,0,1,1,Residential
0,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Special Purpose
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,1,0,Residential
0,0,0,0,0,0,0,1,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,1,0,0,0,Special Purpose
0,0,0,0,0,0,0,0,0,Special Purpose
0,0,0,0,0,0,0,0,0,Special Purpose
0,0,0,0,0,0,0,0,0,Special Purpose
0,0,0,0,0,0,0,1,0,Special Purpose
0,0,0,0,0,0,0,1,0,Special Purpose
0,0,0,0,0,1,1,0,0,Special Purpose
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,1,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,1,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,1,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,1,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,1,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
0,1,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,1,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
1,0,0,0,0,0,1,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,1,0,Residential
0,0,0,0,0,0,0,0,1,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Commercial
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
0,0,0,0,0,0,0,0,0,Residential
